Date,Product ID,Product Name,Category,Unit,Movement Type,Quantity,Stock Level,Reorder Point,Max Stock,Supplier,Alert
2023-01-01,P001,Acide Sulfurique,Chimique,Tonne,Entrée,137,451,50,500,ChimTech Maroc,Normal
2023-01-01,P001,Acide Sulfurique,Chimique,Tonne,Sortie,9,442,50,500,,Normal
2023-01-02,P001,Acide Sulfurique,Chimique,Tonne,Sortie,26,416,50,500,,Normal
2023-01-03,P001,Acide Sulfurique,Chimique,Tonne,Entrée,69,485,50,500,ChimTech Maroc,Normal
2023-01-03,P001,Acide Sulfurique,Chimique,Tonne,Sortie,39,446,50,500,,Normal
2023-01-04,P001,Acide Sulfurique,Chimique,Tonne,Sortie,29,417,50,500,,Normal
2023-01-05,P001,Acide Sulfurique,Chimique,Tonne,Sortie,35,382,50,500,,Normal
2023-01-06,P001,Acide Sulfurique,Chimique,Tonne,Sortie,29,353,50,500,,Normal
2023-01-07,P001,Acide Sulfurique,Chimique,Tonne,Sortie,33,320,50,500,,Normal
2023-01-08,P001,Acide Sulfurique,Chimique,Tonne,Sortie,22,298,50,500,,Normal
2023-01-09,P001,Acide Sulfurique,Chimique,Tonne,Sortie,24,274,50,500,,Normal
2023-01-10,P001,Acide Sulfurique,Chimique,Tonne,Sortie,13,261,50,500,,Normal
2023-01-11,P001,Acide Sulfurique,Chimique,Tonne,Sortie,5,256,50,500,,Normal
2023-01-12,P001,Acide Sulfurique,Chimique,Tonne,Sortie,25,231,50,500,,Normal
2023-01-13,P001,Acide Sulfurique,Chimique,Tonne,Entrée,121,352,50,500,Atlas Équipements,Normal
2023-01-13,P001,Acide Sulfurique,Chimique,Tonne,Sortie,28,324,50,500,,Normal
2023-01-14,P001,Acide Sulfurique,Chimique,Tonne,Sortie,16,308,50,500,,Normal
2023-01-15,P001,Acide Sulfurique,Chimique,Tonne,Sortie,33,275,50,500,,Normal
2023-01-16,P001,Acide Sulfurique,Chimique,Tonne,Entrée,70,345,50,500,IndustroPro,Normal
2023-01-16,P001,Acide Sulfurique,Chimique,Tonne,Sortie,30,315,50,500,,Normal
2023-01-17,P001,Acide Sulfurique,Chimique,Tonne,Entrée,112,427,50,500,OCP Logistique,Normal
2023-01-17,P001,Acide Sulfurique,Chimique,Tonne,Sortie,25,402,50,500,,Normal
2023-01-18,P001,Acide Sulfurique,Chimique,Tonne,Entrée,52,454,50,500,IndustroPro,Normal
2023-01-18,P001,Acide Sulfurique,Chimique,Tonne,Sortie,26,428,50,500,,Normal
2023-01-19,P001,Acide Sulfurique,Chimique,Tonne,Entrée,78,500,50,500,Maghreb Chimie,Normal
2023-01-19,P001,Acide Sulfurique,Chimique,Tonne,Sortie,15,485,50,500,,Normal
2023-01-20,P001,Acide Sulfurique,Chimique,Tonne,Sortie,24,461,50,500,,Normal
2023-01-21,P001,Acide Sulfurique,Chimique,Tonne,Sortie,11,450,50,500,,Normal
2023-01-22,P001,Acide Sulfurique,Chimique,Tonne,Sortie,39,411,50,500,,Normal
2023-01-23,P001,Acide Sulfurique,Chimique,Tonne,Sortie,11,400,50,500,,Normal
2023-01-24,P001,Acide Sulfurique,Chimique,Tonne,Sortie,7,393,50,500,,Normal
2023-01-25,P001,Acide Sulfurique,Chimique,Tonne,Entrée,28,421,50,500,ChimTech Maroc,Normal
2023-01-25,P001,Acide Sulfurique,Chimique,Tonne,Sortie,36,385,50,500,,Normal
